#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome A","NC_006067.1",156015,157655,"-",2905815,,"YALI0_A01133g","XP_499644.1",546,"YALI0A01133p"
"chromosome A","NC_006067.1",160621,161847,"+",2905732,,"YALI0_A01155g","XP_499645.1",408,"YALI0A01155p"
"chromosome A","NC_006067.1",164805,166301,"+",2906072,,"YALI0_A01265g","XP_499646.1",498,"YALI0A01265p"
"chromosome A","NC_006067.1",168362,169555,"-",2906271,,"YALI0_A01331g","XP_499647.1",397,"YALI0A01331p"
"chromosome A","NC_006067.1",172161,174395,"-",2906152,,"YALI0_A01353g","XP_499648.1",744,"YALI0A01353p"
"chromosome A","NC_006067.1",174882,176080,"-",2906074,,"YALI0_A01375g","XP_499649.1",265,"YALI0A01375p"
"chromosome A","NC_006067.1",177300,180250,"+",2906040,,"YALI0_A01397g","XP_499650.1",939,"YALI0A01397p"
"chromosome A","NC_006067.1",180279,181579,"-",2906039,,"YALI0_A01419g","XP_499651.2",124,"YALI0A01419p"
"chromosome A","NC_006067.1",182093,183157,"+",2906065,,"YALI0_A01441g","XP_499652.1",354,"YALI0A01441p"
"chromosome A","NC_006067.1",183955,184263,"-",7009333,,"YALI0_A01452g","XP_002142980.1",102,"YALI0A01452p"
"chromosome A","NC_006067.1",185237,186661,"-",2906038,,"YALI0_A01463g","XP_499653.1",474,"YALI0A01463p"
"chromosome A","NC_006067.1",187261,188346,"-",2906035,,"YALI0_A01485g","XP_499654.1",361,"YALI0A01485p"
"chromosome A","NC_006067.1",196867,197313,"+",2906062,,"YALI0_A01540g","XP_499657.2",148,"YALI0A01540p"
"chromosome A","NC_006067.1",201359,204712,"+",2906054,,"YALI0_A01562g","XP_499658.1",1117,"YALI0A01562p"
"chromosome A","NC_006067.1",208600,210492,"+",2905820,,"YALI0_A01602g","XP_002142981.1",630,"YALI0A01602p"
"chromosome A","NC_006067.1",215891,216946,"-",2906527,,"YALI0_A01650g","XP_499660.1",351,"YALI0A01650p"
"chromosome A","NC_006067.1",219225,220796,"-",2905735,,"YALI0_A01716g","XP_499661.1",523,"YALI0A01716p"
"chromosome A","NC_006067.1",221222,222018,"-",2906100,,"YALI0_A01738g","XP_499662.1",132,"YALI0A01738p"
"chromosome A","NC_006067.1",222902,224182,"+",2905799,,"YALI0_A01760g","XP_499663.1",426,"YALI0A01760p"
"chromosome A","NC_006067.1",225324,226469,"-",2905722,,"YALI0_A01782g","XP_499664.1",381,"YALI0A01782p"
"chromosome A","NC_006067.1",228317,230158,"+",2906556,,"YALI0_A01826g","XP_499665.1",613,"YALI0A01826p"
"chromosome A","NC_006067.1",231346,232332,"-",2905986,,"YALI0_A01848g","XP_499666.1",328,"YALI0A01848p"
"chromosome A","NC_006067.1",233105,234136,"+",2906533,,"YALI0_A01870g","XP_499667.1",343,"YALI0A01870p"
"chromosome A","NC_006067.1",239563,241857,"+",2906526,,"YALI0_A01892g","XP_499668.1",764,"YALI0A01892p"
"chromosome A","NC_006067.1",246784,248385,"+",2906123,,"YALI0_A01958g","XP_499669.1",533,"YALI0A01958p"
"chromosome A","NC_006067.1",249819,251375,"+",2905738,,"YALI0_A01980g","XP_499670.1",518,"YALI0A01980p"
"chromosome A","NC_006067.1",252726,254057,"+",2905730,,"YALI0_A02002g","XP_499671.1",443,"YALI0A02002p"
"chromosome A","NC_006067.1",254153,255943,"-",2906017,,"YALI0_A02024g","XP_499672.1",596,"YALI0A02024p"
"chromosome A","NC_006067.1",256553,257527,"-",2906549,,"YALI0_A02046g","XP_499673.1",324,"YALI0A02046p"
"chromosome A","NC_006067.1",258259,259335,"-",2906372,,"YALI0_A02068g","XP_499674.1",358,"YALI0A02068p"
"chromosome A","NC_006067.1",260225,262147,"+",2906557,,"YALI0_A02090g","XP_499675.1",640,"YALI0A02090p"
"chromosome A","NC_006067.1",263055,263429,"+",2906308,,"YALI0_A02112g","XP_499676.1",124,"YALI0A02112p"
"chromosome A","NC_006067.1",263633,267733,"-",2906551,,"YALI0_A02134g","XP_499677.1",1366,"YALI0A02134p"
"chromosome A","NC_006067.1",268401,268852,"+",2906585,,"YALI0_A02156g","XP_499678.2",131,"YALI0A02156p"
"chromosome A","NC_006067.1",268909,269346,"-",2906574,,"YALI0_A02178g","XP_499679.1",145,"YALI0A02178p"
"chromosome A","NC_006067.1",270001,272268,"+",2906137,,"YALI0_A02200g","XP_499680.1",755,"YALI0A02200p"
"chromosome A","NC_006067.1",272421,274673,"-",2906193,,"YALI0_A02222g","XP_499681.1",750,"YALI0A02222p"
"chromosome A","NC_006067.1",278487,280208,"+",2906457,,"YALI0_A02244g","XP_499682.1",573,"YALI0A02244p"
"chromosome A","NC_006067.1",282026,284653,"+",2906473,,"YALI0_A02266g","XP_499683.1",875,"YALI0A02266p"
"chromosome A","NC_006067.1",286025,288514,"+",2906376,,"YALI0_A02288g","XP_499684.1",829,"YALI0A02288p"
"chromosome A","NC_006067.1",290783,292818,"+",2906446,,"YALI0_A02310g","XP_499685.1",496,"YALI0A02310p"
"chromosome A","NC_006067.1",293049,294524,"-",2906387,,"YALI0_A02332g","XP_499686.1",491,"YALI0A02332p"
"chromosome A","NC_006067.1",296570,298252,"+",2906365,,"YALI0_A02354g","XP_499687.1",494,"YALI0A02354p"
"chromosome A","NC_006067.1",302682,303638,"+",2906151,,"YALI0_A02409g","XP_499690.1",318,"YALI0A02409p"
"chromosome A","NC_006067.1",303990,304157,"-",7009336,,"YALI0_A02416g","XP_002142982.1",55,"YALI0A02416p"
"chromosome A","NC_006067.1",305061,305225,"+",7009337,,"YALI0_A02423g","XP_002142983.1",54,"YALI0A02423p"
"chromosome A","NC_006067.1",306897,307996,"-",2906348,,"YALI0_A02431g","XP_499691.1",352,"YALI0A02431p"
"chromosome A","NC_006067.1",308324,310612,"-",2906394,,"YALI0_A02453g","XP_499692.1",762,"YALI0A02453p"
"chromosome A","NC_006067.1",312985,313530,"+",2906380,,"YALI0_A02475g","XP_499693.1",181,"YALI0A02475p"
"chromosome A","NC_006067.1",316093,317005,"+",2905748,,"YALI0_A02497g","XP_499694.2",275,"YALI0A02497p"
"chromosome A","NC_006067.1",317775,320054,"-",2906386,,"YALI0_A02541g","XP_499696.1",759,"YALI0A02541p"
"chromosome A","NC_006067.1",321024,322042,"-",2906344,,"YALI0_A02563g","XP_499697.1",186,"YALI0A02563p"
"chromosome A","NC_006067.1",322300,323322,"+",2906350,,"YALI0_A02585g","XP_499698.1",340,"YALI0A02585p"
"chromosome A","NC_006067.1",323454,324740,"-",2906436,,"YALI0_A02607g","XP_499699.1",428,"YALI0A02607p"
"chromosome A","NC_006067.1",326518,326868,"-",2906423,,"YALI0_A02629g","XP_499700.2",116,"YALI0A02629p"
"chromosome A","NC_006067.1",328434,329358,"+",2906157,,"YALI0_A02651g","XP_499701.1",182,"YALI0A02651p"
"chromosome A","NC_006067.1",330169,330954,"+",2906503,,"YALI0_A02673g","XP_499702.1",261,"YALI0A02673p"
"chromosome A","NC_006067.1",331727,332740,"+",2906022,,"YALI0_A02695g","XP_499703.1",337,"YALI0A02695p"
"chromosome A","NC_006067.1",333471,334430,"-",2905739,,"YALI0_A02717g","XP_499704.1",319,"YALI0A02717p"
"chromosome A","NC_006067.1",338335,338874,"-",2905725,,"YALI0_A02783g","XP_499705.1",179,"YALI0A02783p"
"chromosome A","NC_006067.1",341365,341730,"+",2905972,,"YALI0_A02849g","XP_499706.1",121,"YALI0A02849p"
"chromosome A","NC_006067.1",342436,342691,"-",2906078,,"YALI0_A02871g","XP_499707.1",70,"YALI0A02871p"
"chromosome A","NC_006067.1",343492,345111,"+",2906353,,"YALI0_A02893g","XP_499708.1",539,"YALI0A02893p"
"chromosome A","NC_006067.1",345694,346371,"+",2906354,,"YALI0_A02915g","XP_499709.1",225,"YALI0A02915p"
"chromosome A","NC_006067.1",347943,348560,"-",2906463,,"YALI0_A02937g","XP_499710.1",205,"YALI0A02937p"
"chromosome A","NC_006067.1",348955,351309,"+",2906371,,"YALI0_A02959g","XP_499711.1",768,"YALI0A02959p"
"chromosome A","NC_006067.1",351994,353625,"-",2906021,,"YALI0_A02981g","XP_499712.1",419,"YALI0A02981p"
"chromosome A","NC_006067.1",353774,354193,"+",2905958,,"YALI0_A03003g","XP_499713.1",139,"putative mitochondrial 37S ribosomal protein MRPS12"
"chromosome A","NC_006067.1",354725,355693,"-",2905974,,"YALI0_A03025g","XP_499714.1",322,"YALI0A03025p"
"chromosome A","NC_006067.1",357648,358193,"+",2906023,,"YALI0_A03069g","XP_499715.1",181,"YALI0A03069p"
"chromosome A","NC_006067.1",358521,360026,"+",2906286,,"YALI0_A03091g","XP_499716.1",501,"YALI0A03091p"
"chromosome A","NC_006067.1",361882,362229,"-",2906005,,"YALI0_A03113g","XP_499717.1",115,"YALI0A03113p"
"chromosome A","NC_006067.1",364640,366274,"+",2906600,,"YALI0_A03135g","XP_499718.1",544,"YALI0A03135p"
"chromosome A","NC_006067.1",367690,368358,"-",2906343,,"YALI0_A03179g","XP_499719.1",222,"YALI0A03179p"
"chromosome A","NC_006067.1",370183,371325,"+",2906452,,"YALI0_A03201g","XP_499720.1",380,"YALI0A03201p"
"chromosome A","NC_006067.1",374280,375929,"-",2906467,,"YALI0_A03245g","XP_499722.1",549,"YALI0A03245p"
"chromosome A","NC_006067.1",378304,380358,"-",2905967,,"YALI0_A03399g","XP_499723.1",684,"YALI0A03399p"
"chromosome A","NC_006067.1",381782,382300,"-",2905992,,"YALI0_A03421g","XP_499724.1",172,"YALI0A03421p"
"chromosome A","NC_006067.1",383729,385546,"-",2906047,,"YALI0_A03443g","XP_499725.1",605,"YALI0A03443p"
"chromosome A","NC_006067.1",387008,389113,"-",2905997,,"YALI0_A03509g","XP_499726.1",701,"YALI0A03509p"
"chromosome A","NC_006067.1",389752,391008,"+",2906004,,"YALI0_A03531g","XP_499727.1",418,"YALI0A03531p"
"chromosome A","NC_006067.1",391290,393856,"-",2906233,,"YALI0_A03553g","XP_499728.1",840,"YALI0A03553p"
"chromosome A","NC_006067.1",394395,394712,"+",2906240,,"YALI0_A03575g","XP_499729.1",105,"YALI0A03575p"
"chromosome A","NC_006067.1",395670,397148,"-",2906236,,"YALI0_A03597g","XP_499730.1",492,"YALI0A03597p"
"chromosome A","NC_006067.1",399107,400135,"+",2906247,,"YALI0_A03641g","XP_499732.1",342,"YALI0A03641p"
"chromosome A","NC_006067.1",400714,401745,"-",2906252,,"YALI0_A03663g","XP_499733.1",343,"YALI0A03663p"
"chromosome A","NC_006067.1",404000,404746,"+",2906280,,"YALI0_A03685g","XP_499734.1",248,"YALI0A03685p"
"chromosome A","NC_006067.1",407130,408674,"+",2906264,,"YALI0_A03751g","XP_499735.1",514,"YALI0A03751p"
"chromosome A","NC_006067.1",408835,409827,"-",2906278,,"YALI0_A03773g","XP_499736.1",330,"YALI0A03773p"
"chromosome A","NC_006067.1",414340,414972,"+",2906298,,"YALI0_A03817g","XP_499737.1",210,"YALI0A03817p"
"chromosome A","NC_006067.1",415894,417456,"+",2906001,,"YALI0_A03839g","XP_499738.1",520,"YALI0A03839p"
"chromosome A","NC_006067.1",418341,420242,"-",2906215,,"YALI0_A03861g","XP_499739.1",633,"YALI0A03861p"
"chromosome A","NC_006067.1",420671,424045,"-",2906204,,"YALI0_A03883g","XP_499740.1",1124,"YALI0A03883p"
"chromosome A","NC_006067.1",424988,425953,"+",2906197,,"YALI0_A03905g","XP_499741.1",321,"YALI0A03905p"
"chromosome A","NC_006067.1",430881,433190,"+",2906212,,"YALI0_A03927g","XP_499742.1",769,"YALI0A03927p"
"chromosome A","NC_006067.1",439249,441960,"+",2906185,,"YALI0_A03949g","XP_499743.1",903,"YALI0A03949p"
"chromosome A","NC_006067.1",444031,445731,"+",2906217,,"YALI0_A03971g","XP_499744.1",566,"YALI0A03971p"
"chromosome A","NC_006067.1",445772,446332,"-",2906182,,"YALI0_A03993g","XP_499745.1",186,"YALI0A03993p"
"chromosome A","NC_006067.1",447238,448887,"+",2906053,,"YALI0_A04059g","XP_499746.1",549,"YALI0A04059p"
"chromosome A","NC_006067.1",453438,454604,"-",2906234,,"YALI0_A04191g","XP_499747.1",388,"YALI0A04191p"
"chromosome A","NC_006067.1",458431,460655,"-",2906258,,"YALI0_A04279g","XP_499748.1",527,"YALI0A04279p"
"chromosome A","NC_006067.1",461808,462656,"-",2906293,,"YALI0_A04301g","XP_499749.1",282,"YALI0A04301p"
"chromosome A","NC_006067.1",465608,466456,"-",2906273,,"YALI0_A04323g","XP_499750.1",282,"YALI0A04323p"
"chromosome A","NC_006067.1",468136,469197,"-",2906359,,"YALI0_A04345g","XP_499751.1",353,"YALI0A04345p"
"chromosome A","NC_006067.1",470101,470730,"-",2906287,,"YALI0_A04367g","XP_499752.1",209,"YALI0A04367p"
"chromosome A","NC_006067.1",475113,475721,"+",2906373,,"YALI0_A04455g","XP_499753.1",202,"YALI0A04455p"
"chromosome A","NC_006067.1",479201,479500,"+",2906460,,"YALI0_A04499g","XP_499754.1",99,"YALI0A04499p"
"chromosome A","NC_006067.1",480708,481439,"+",2906084,,"YALI0_A04521g","XP_499755.1",243,"YALI0A04521p"
"chromosome A","NC_006067.1",484613,485071,"+",2906571,,"YALI0_A04587g","XP_499756.2",152,"YALI0A04587p"
"chromosome A","NC_006067.1",487327,490974,"+",2906041,,"YALI0_A04609g","XP_499757.1",1215,"YALI0A04609p"
"chromosome A","NC_006067.1",491273,492676,"-",2906603,,"YALI0_A04631g","XP_499758.1",467,"YALI0A04631p"
"chromosome A","NC_006067.1",493047,494573,"-",2906077,,"YALI0_A04653g","XP_499759.1",508,"YALI0A04653p"
"chromosome A","NC_006067.1",494808,495347,"+",2905776,,"YALI0_A04675g","XP_499760.1",179,"YALI0A04675p"
"chromosome A","NC_006067.1",495546,497903,"-",2906596,,"YALI0_A04697g","XP_499761.1",785,"YALI0A04697p"
"chromosome A","NC_006067.1",501284,501541,"-",2905754,,"YALI0_A04719g","XP_499762.2",85,"YALI0A04719p"
"chromosome A","NC_006067.1",502411,504399,"+",2905979,,"YALI0_A04741g","XP_499763.1",662,"YALI0A04741p"
"chromosome A","NC_006067.1",504896,505828,"-",2906227,,"YALI0_A04785g","XP_499764.1",310,"YALI0A04785p"
"chromosome A","NC_006067.1",509325,510677,"-",2905902,,"YALI0_A04873g","XP_499765.1",450,"YALI0A04873p"
"chromosome A","NC_006067.1",513452,514021,"+",2906213,,"YALI0_A04895g","XP_499766.1",189,"YALI0A04895p"
"chromosome A","NC_006067.1",515036,516256,"-",2905908,,"YALI0_A04917g","XP_499767.1",406,"YALI0A04917p"
"chromosome A","NC_006067.1",518339,521335,"+",2906531,,"YALI0_A04939g","XP_499768.1",998,"YALI0A04939p"
"chromosome A","NC_006067.1",521825,523181,"-",2906194,,"YALI0_A04961g","XP_499769.1",138,"YALI0A04961p"
"chromosome A","NC_006067.1",524671,525654,"+",2906140,,"YALI0_A04983g","XP_499770.1",327,"YALI0A04983p"
"chromosome A","NC_006067.1",526422,527426,"-",2905834,,"YALI0_A05005g","XP_499771.1",334,"YALI0A05005p"
"chromosome A","NC_006067.1",529296,531064,"-",2905838,,"YALI0_A05027g","XP_499772.1",259,"YALI0A05027p"
"chromosome A","NC_006067.1",533230,534114,"-",2905810,,"YALI0_A05115g","XP_499773.1",294,"YALI0A05115p"
"chromosome A","NC_006067.1",534888,535824,"-",2905827,,"YALI0_A05137g","XP_499774.1",106,"YALI0A05137p"
"chromosome A","NC_006067.1",536009,536866,"+",2905846,,"YALI0_A05159g","XP_499775.1",285,"YALI0A05159p"
"chromosome A","NC_006067.1",537135,538529,"-",2906142,,"YALI0_A05181g","XP_499776.1",464,"YALI0A05181p"
"chromosome A","NC_006067.1",539012,541099,"+",2905971,,"YALI0_A05203g","XP_499777.1",695,"YALI0A05203p"
"chromosome A","NC_006067.1",541502,541618,"+",2905973,,"YALI0_A05225g","XP_499778.2",38,"YALI0A05225p"
"chromosome A","NC_006067.1",542408,546424,"-",2905841,,"YALI0_A05247g","XP_499779.1",1338,"YALI0A05247p"
"chromosome A","NC_006067.1",548602,549357,"+",2905965,,"YALI0_A05291g","XP_499780.1",251,"YALI0A05291p"
"chromosome A","NC_006067.1",553814,554782,"+",2905954,,"YALI0_A05357g","XP_499783.1",322,"YALI0A05357p"
"chromosome A","NC_006067.1",556292,558652,"-",2905952,,"YALI0_A05379g","XP_499784.1",786,"YALI0A05379p"
"chromosome A","NC_006067.1",560444,560935,"+",2905945,,"YALI0_A05401g","XP_499785.1",163,"YALI0A05401p"
"chromosome A","NC_006067.1",561948,562947,"-",2905947,,"YALI0_A05423g","XP_499786.1",103,"YALI0A05423p"
"chromosome A","NC_006067.1",565839,568877,"+",2905930,,"YALI0_A05533g","XP_499787.1",1012,"YALI0A05533p"
"chromosome A","NC_006067.1",569106,570203,"-",2905922,,"YALI0_A05555g","XP_499788.1",365,"YALI0A05555p"
"chromosome A","NC_006067.1",573646,576570,"+",2905916,,"YALI0_A05577g","XP_499789.1",974,"YALI0A05577p"
"chromosome A","NC_006067.1",577853,579346,"-",2905801,,"YALI0_A05665g","XP_499790.1",497,"YALI0A05665p"
"chromosome A","NC_006067.1",582866,583210,"-",2905791,,"YALI0_A05775g","XP_499791.1",114,"YALI0A05775p"
"chromosome A","NC_006067.1",585645,586796,"-",2906006,,"YALI0_A05885g","XP_499793.1",383,"YALI0A05885p"
"chromosome A","NC_006067.1",588469,590556,"-",2906170,,"YALI0_A05929g","XP_499794.1",695,"YALI0A05929p"
"chromosome A","NC_006067.1",591278,592621,"-",2905724,,"YALI0_A05951g","XP_499795.1",447,"YALI0A05951p"
"chromosome A","NC_006067.1",594468,594743,"+",2905793,,"YALI0_A05973g","XP_499796.1",91,"YALI0A05973p"
"chromosome A","NC_006067.1",595239,596096,"+",2906218,,"YALI0_A05995g","XP_499797.1",285,"YALI0A05995p"
"chromosome A","NC_006067.1",597216,597497,"-",2906586,,"YALI0_A06017g","XP_499798.2",93,"YALI0A06017p"
"chromosome A","NC_006067.1",597627,598037,"-",2906231,,"YALI0_A06039g","XP_499799.2",136,"YALI0A06039p"
"chromosome A","NC_006067.1",600195,601505,"-",2906403,,"YALI0_A06061g","XP_499800.1",436,"YALI0A06061p"
"chromosome A","NC_006067.1",605093,605794,"-",2906221,,"YALI0_A06105g","XP_499802.1",233,"YALI0A06105p"
"chromosome A","NC_006067.1",606661,607848,"-",2906057,,"YALI0_A06171g","XP_499803.1",395,"YALI0A06171p"
"chromosome A","NC_006067.1",610940,612187,"-",2905816,,"YALI0_A06215g","XP_002142984.1",415,"YALI0A06215p"
"chromosome A","NC_006067.1",618269,619201,"+",2905796,,"YALI0_A06347g","XP_499804.1",310,"YALI0A06347p"
"chromosome A","NC_006067.1",619395,620390,"-",2906143,,"YALI0_A06369g","XP_499805.1",331,"YALI0A06369p"
"chromosome A","NC_006067.1",621641,623056,"-",2906523,,"YALI0_A06435g","XP_499806.1",471,"YALI0A06435p"
"chromosome A","NC_006067.1",624657,625127,"+",2905978,,"YALI0_A06457g","XP_499807.2",156,"YALI0A06457p"
"chromosome A","NC_006067.1",625950,627494,"+",2905831,,"YALI0_A06479g","XP_499808.1",514,"YALI0A06479p"
"chromosome A","NC_006067.1",628014,628577,"+",2905999,,"YALI0_A06501g","XP_499809.2",187,"YALI0A06501p"
"chromosome A","NC_006067.1",628919,630028,"-",2906024,,"YALI0_A06523g","XP_499810.1",369,"YALI0A06523p"
"chromosome A","NC_006067.1",636192,637532,"+",2905891,,"YALI0_A06589g","XP_499811.1",446,"YALI0A06589p"
"chromosome A","NC_006067.1",639490,641811,"-",2905884,,"YALI0_A06611g","XP_499812.1",773,"YALI0A06611p"
"chromosome A","NC_006067.1",644466,644960,"+",2905886,,"YALI0_A06633g","XP_499813.1",164,"YALI0A06633p"
"chromosome A","NC_006067.1",646470,649262,"-",2905879,,"YALI0_A06655g","XP_499814.1",930,"YALI0A06655p"
"chromosome A","NC_006067.1",650185,651276,"-",2906163,,"YALI0_A06677g","XP_499815.1",363,"YALI0A06677p"
"chromosome A","NC_006067.1",652938,653264,"+",2905881,,"YALI0_A06699g","XP_499816.1",108,"YALI0A06699p"
"chromosome A","NC_006067.1",653401,653820,"-",2905874,,"YALI0_A06721g","XP_499817.2",139,"YALI0A06721p"
"chromosome A","NC_006067.1",654026,654712,"-",2905868,,"YALI0_A06743g","XP_499818.1",228,"YALI0A06743p"
"chromosome A","NC_006067.1",655752,656549,"-",2905873,,"YALI0_A06765g","XP_499819.1",265,"YALI0A06765p"
"chromosome A","NC_006067.1",657133,658302,"-",2906116,,"YALI0_A06787g","XP_499820.1",389,"YALI0A06787p"
"chromosome A","NC_006067.1",660475,660944,"+",2905887,,"YALI0_A06809g","XP_499821.1",127,"YALI0A06809p"
"chromosome A","NC_006067.1",661073,662116,"-",2906406,,"YALI0_A06831g","XP_499822.1",347,"YALI0A06831p"
"chromosome A","NC_006067.1",671158,672303,"-",2906595,,"YALI0_A06886g","XP_499825.1",381,"YALI0A06886p"
"chromosome A","NC_006067.1",672539,673048,"+",2906499,,"YALI0_A06908g","XP_499826.2",169,"YALI0A06908p"
"chromosome A","NC_006067.1",673363,674334,"-",2906588,,"YALI0_A06930g","XP_499827.1",323,"YALI0A06930p"
"chromosome A","NC_006067.1",675572,675874,"+",2906602,,"YALI0_A06952g","XP_499828.2",100,"YALI0A06952p"
"chromosome A","NC_006067.1",677040,678158,"+",2906404,,"YALI0_A06974g","XP_499829.1",372,"YALI0A06974p"
"chromosome A","NC_006067.1",678527,679621,"-",2906117,,"YALI0_A06996g","XP_499830.1",364,"YALI0A06996p"
"chromosome A","NC_006067.1",680301,683711,"+",2905766,,"YALI0_A07018g","XP_499831.1",1136,"YALI0A07018p"
"chromosome A","NC_006067.1",685170,686141,"+",2906494,,"YALI0_A07062g","XP_499832.1",323,"YALI0A07062p"
"chromosome A","NC_006067.1",686888,687382,"-",2905859,,"YALI0_A07084g","XP_499833.1",164,"YALI0A07084p"
"chromosome A","NC_006067.1",690851,693484,"+",2905882,,"YALI0_A07106g","XP_499834.1",877,"YALI0A07106p"
"chromosome A","NC_006067.1",695303,696964,"+",2905863,,"YALI0_A07128g","XP_499835.1",553,"YALI0A07128p"
"chromosome A","NC_006067.1",698050,700305,"-",2905857,,"YALI0_A07142g","XP_499836.2",751,"YALI0A07142p"
"chromosome A","NC_006067.1",702737,706639,"-",2905996,,"YALI0_A07238g","XP_499837.1",1300,"YALI0A07238p"
"chromosome A","NC_006067.1",706642,708786,"-",2905990,,"YALI0_A07249g","XP_499838.1",714,"YALI0A07249p"
