,regulator,gene_name,sacc_gene_id,gene_id
306,RAP1,PHO84,YML123C,YALI0_A21307g
307,RAP1,ERG13,YML126C,YALI0_F30481g
308,RAP1,BUD22,YMR014W,YALI0_C17853g
309,RAP1,SPO20,YMR017W,YALI0_E18414g
310,RAP1,RPS16A,YMR143W,YALI0_B12848g
311,RAP1,RPS10B,YMR230W,YALI0_C11473g
312,RAP1,RPL20A,YMR242C,YALI0_F24123g
313,RAP1,SUN4,YNL066W,YALI0_E33539g
314,RAP1,RPL9B,YNL067W,YALI0_E29073g
315,RAP1,RPL16B,YNL069C,YALI0_C09218g
316,RAP1,RPS7B,YNL096C,YALI0_A10725g
317,RAP1,AVT4,YNL101W,YALI0_E10637g
318,RAP1,ALF1,YNL148C,YALI0_A20504g
319,RAP1,RPL42A,YNL162W,YALI0_B04224g
320,RAP1,RPS3,YNL178W,YALI0_E23694g
321,RAP1,POP3,YNL282W,YALI0_F07447g
322,RAP1,CAF40,YNL288W,YALI0_F03344g
323,RAP1,RPL18B,YNL301C,YALI0_B08866g
324,RAP1,BIO3,YNR058W,YALI0_D22847g
325,RAP1,RPS15,YOL040C,YALI0_F05803g
326,RAP1,RTG1,YOL067C,YALI0_F11979g
327,RAP1,ADH1,YOL086C,YALI0_A16379g
328,RAP1,RPL18A,YOL120C,YALI0_B08866g
329,RAP1,RPS19A,YOL121C,YALI0_B20504g
330,RAP1,RPL25,YOL127W,YALI0_F25531g
331,RAP1,BSC6,YOL137W,YALI0_C20361g
332,RAP1,RPS7A,YOR096W,YALI0_A10725g
333,RAP1,CRC1,YOR100C,YALI0_C02431g
334,RAP1,RPL33B,YOR234C,YALI0_F31405g
335,RAP1,MBF1,YOR298C-A,YALI0_B12166g
336,RAP1,RPL20B,YOR312C,YALI0_F24123g
337,RAP1,COT1,YOR316C,YALI0_F00176g
338,RAP1,FAA1,YOR317W,YALI0_D17864g
339,RAP1,RPS12,YOR369C,YALI0_F06160g
340,RAP1,ALD4,YOR374W,YALI0_C03025g
341,RAP1,HTC1,YPL067C,YALI0_F04466g
342,RAP1,RPS6A,YPL090C,YALI0_F18766g
343,RAP1,CAR1,YPL111W,YALI0_E07535g
344,RAP1,RPL33A,YPL143W,YALI0_F31405g
345,RAP1,KES1,YPL145C,YALI0_C11693g
346,RAP1,RPL1A,YPL220W,YALI0_E31911g
347,RAP1,NSL1,YPL233W,YALI0_B04466g
348,RAP1,TIP41,YPR040W,YALI0_C23100g
349,RAP1,RPS8A,YBL072C,YALI0_F24959g
350,RAP1,RPL32,YBL092W,YALI0_E30811g
351,RAP1,TEF2,YBR118W,YALI0_C09141g
352,RAP1,RPS9B,YBR189W,YALI0_F05544g
353,RAP1,PGI1,YBR196C,YALI0_F07711g
354,RAP1,RPS14A,YCR031C,YALI0_D05753g
355,RAP1,SLM3,YDL033C,YALI0_F25069g
356,RAP1,RPS29B,YDL061C,YALI0_B08748g
357,RAP1,RPP1A,YDL081C,YALI0_B12804g
358,RAP1,RPL4B,YDR012W,YALI0_C06820g
359,RAP1,RPS13,YDR064W,YALI0_F11055g
360,RAP1,PRO1,YDR300C,YALI0_A19206g
361,RAP1,RPP2B,YDR382W,YALI0_F05808g
362,RAP1,SPT3,YDR392W,YALI0_E21417g
363,RAP1,RPS17B,YDR447C,YALI0_F14465g
364,RAP1,RPS18A,YDR450W,YALI0_D20614g
365,RAP1,RPL37B,YDR500C,YALI0_E01452g
366,RAP1,MIT1,YEL007W,YALI0_C08327g
367,RAP1,GLY1,YEL046C,YALI0_A21417g
368,RAP1,RPS26B,YER131W,YALI0_E19701g
369,RAP1,HSP12,YFL014W,YALI0_D20526g
370,RAP1,RPL22B,YFL034C-A,YALI0_E32208g
371,RAP1,MIL1,YFL034W,YALI0_E26653g
372,RAP1,RPL2A,YFR031C-A,YALI0_F24739g
373,RAP1,RPL29,YFR032C-A,YALI0_F08437g
374,RAP1,RPL24A,YGL031C,YALI0_E23584g
375,RAP1,RPL7A,YGL076C,YALI0_E13618g
376,RAP1,GUP1,YGL084C,YALI0_E30283g
377,RAP1,RPL1B,YGL135W,YALI0_E31911g
378,RAP1,RPS26A,YGL189C,YALI0_E19701g
379,RAP1,RPS25A,YGR027C,YALI0_C03872g
380,RAP1,RPS23A,YGR118W,YALI0_A20746g
381,RAP1,RPL24B,YGR148C,YALI0_E23584g
382,RAP1,NSR1,YGR159C,YALI0_F13475g
383,RAP1,RPS0A,YGR214W,YALI0_A18205g
384,RAP1,DUR3,YHL016C,YALI0_B04202g
385,RAP1,GUT1,YHL032C,YALI0_F00484g
386,RAP1,RPL27A,YHR010W,YALI0_B05896g
387,RAP1,ERC1,YHR032W,YALI0_D26730g
388,RAP1,HXT5,YHR096C,YALI0_F19184g
389,RAP1,RPL42B,YHR141C,YALI0_B04224g
390,RAP1,CHS7,YHR142W,YALI0_D17006g
391,RAP1,MMF1,YIL051C,YALI0_C09735g
392,RAP1,GPP1,YIL053W,YALI0_F25025g
393,RAP1,RPS24B,YIL069C,YALI0_D13728g
394,RAP1,RPS21B,YJL136C,YALI0_D13794g
395,RAP1,RPS22A,YJL190C,YALI0_D05731g
396,RAP1,RPS14B,YJL191W,YALI0_D05753g
397,RAP1,SOP4,YJL192C,YALI0_C21604g
398,RAP1,SSC1,YJR045C,YALI0_C17347g
399,RAP1,OPI3,YJR073C,YALI0_E12441g
400,RAP1,MOG1,YJR074W,YALI0_A21098g
401,RAP1,RPL43B,YJR094W-A,YALI0_E34573g
402,RAP1,IBA57,YJR122W,YALI0_D15774g
403,RAP1,RPS4A,YJR145C,YALI0_D12903g
404,RAP1,RPL14A,YKL006W,YALI0_E00550g
405,RAP1,ATP7,YKL016C,YALI0_B06831g
406,RAP1,GPM1,YKL152C,YALI0_B02728g
407,RAP1,APE2,YKL157W,YALI0_B14641g
408,RAP1,FAS1,YKL182W,YALI0_B15059g
409,RAP1,RPS21A,YKR057W,YALI0_D13794g
410,RAP1,DNM1,YLL001W,YALI0_F16379g
411,RAP1,THI73,YLR004C,YALI0_D13970g
412,RAP1,RPL22A,YLR061W,YALI0_E32208g
413,RAP1,BUD20,YLR074C,YALI0_D13068g
414,RAP1,RPL10,YLR075W,YALI0_D13104g
415,RAP1,YEF3,YLR249W,YALI0_E13277g
416,RAP1,RPS28B,YLR264W,YALI0_C05148g
417,RAP1,CTS1,YLR286C,YALI0_D22396g
418,RAP1,RPL38,YLR325C,YALI0_B11308g
419,RAP1,RPS25B,YLR333C,YALI0_C03872g
420,RAP1,RPS29A,YLR388W,YALI0_B08748g
421,RAP1,CAR2,YLR438W,YALI0_C04433g
422,RAP1,RPS1A,YLR441C,YALI0_F05676g
423,RAP1,RPS17A,YML024W,YALI0_F14465g
424,RAP1,RPL6A,YML073C,YALI0_E27830g
425,RAP1,SEC59,YMR013C,YALI0_E18942g
426,RAP1,PEX12,YMR026C,YALI0_D26642g
428,RAP1,AIP1,YMR092C,YALI0_E01870g
429,RAP1,RPL13B,YMR142C,YALI0_B12826g
430,RAP1,RPL36A,YMR194W,YALI0_E30602g
431,RAP1,PFK2,YMR205C,YALI0_D16357g
432,RAP1,ZRC1,YMR243C,YALI0_F00176g
433,RAP1,LCB1,YMR296C,YALI0_C03179g
434,RAP1,YCK2,YNL154C,YALI0_E26609g
435,RAP1,RPS19B,YNL302C,YALI0_B20504g
436,RAP1,RPP2A,YOL039W,YALI0_F05808g
437,RAP1,PFK27,YOL136C,YALI0_E17633g
438,RAP1,RPL3,YOR063W,YALI0_C21560g
439,RAP1,CEX1,YOR112W,YALI0_E27698g
441,RAP1,RPS10A,YOR293W,YALI0_C11473g
442,RAP1,CPA1,YOR303W,YALI0_D07370g
444,RAP1,SCP1,YOR367W,YALI0_E32241g
445,RAP1,RPL21B,YPL079W,YALI0_F05522g
446,RAP1,RPS9A,YPL081W,YALI0_F05544g
447,RAP1,RPL5,YPL131W,YALI0_E22352g
448,RAP1,GUP2,YPL189W,YALI0_E30283g
449,RAP1,RPL7B,YPL198W,YALI0_E13618g
451,RAP1,FLC1,YPL221W,YALI0_E21043g
452,RAP1,NEW1,YPL226W,YALI0_B04334g
453,RAP1,RPL43A,YPR043W,YALI0_E34573g
454,RAP1,MRL1,YPR079W,YALI0_C09163g
455,RAP1,EFB1,YAL003W,YALI0_F09669g
456,RAP1,SSA1,YAL005C,YALI0_D08184g
457,RAP1,YAT1,YAR035W,YALI0_F21197g
458,RAP1,HTB2,YBL002W,YALI0_E26455g
459,RAP1,SCT1,YBL011W,YALI0_C00209g
460,RAP1,PRE7,YBL041W,YALI0_D06523g
461,RAP1,FUI1,YBL042C,YALI0_D05621g
462,RAP1,ECM13,YBL043W,YALI0_B07403g
463,RAP1,MOH1,YBL049W,YALI0_D15092g
464,RAP1,IPP1,YBR011C,YALI0_F13541g
465,RAP1,RPL4A,YBR031W,YALI0_C06820g
466,RAP1,PDX3,YBR035C,YALI0_D14322g
467,RAP1,CSG2,YBR036C,YALI0_F16093g
468,RAP1,ZTA1,YBR046C,YALI0_E07766g
469,RAP1,ECM33,YBR078W,YALI0_D07480g
470,RAP1,SND3,YBR106W,YALI0_B04444g
471,RAP1,PCA1,YBR295W,YALI0_D27038g
472,RAP1,PHO89,YBR296C,YALI0_E23859g
473,RAP1,LEU2,YCL018W,YALI0_C00407g
474,RAP1,GLK1,YCL040W,YALI0_E15488g
475,RAP1,PDI1,YCL043C,YALI0_E03036g
476,RAP1,BPH1,YCR032W,YALI0_E04312g
477,RAP1,GIT1,YCR098C,YALI0_D08382g
478,RAP1,RPL31A,YDL075W,YALI0_E24475g
479,RAP1,RPS16B,YDL083C,YALI0_B12848g
480,RAP1,ARF1,YDL192W,YALI0_F02167g
481,RAP1,FAL1,YDR021W,YALI0_F02695g
482,RAP1,BAP3,YDR046C,YALI0_B16522g
483,RAP1,TPI1,YDR050C,YALI0_F05214g
485,RAP1,YCF1,YDR135C,YALI0_E25069g
486,RAP1,CPR1,YDR155C,YALI0_C10230g
487,RAP1,MSS116,YDR194C,YALI0_E01782g
488,RAP1,HTB1,YDR224C,YALI0_E26455g
489,RAP1,HTA1,YDR225W,YALI0_E26477g
490,RAP1,RTN1,YDR233C,YALI0_B01738g
491,RAP1,CFT1,YDR301W,YALI0_E03982g
492,RAP1,SSF2,YDR312W,YALI0_A12155g
493,RAP1,RVS167,YDR388W,YALI0_D13706g
494,RAP1,ADE8,YDR408C,YALI0_D03069g
495,RAP1,SLD5,YDR489W,YALI0_B17820g
497,RAP1,GTA1,YEL043W,YALI0_A12287g
498,RAP1,DLD3,YEL071W,YALI0_C06446g
499,RAP1,FCY2,YER056C,YALI0_F30569g
500,RAP1,HMF1,YER057C,YALI0_C09735g
501,RAP1,GPP2,YER062C,YALI0_F25025g
502,RAP1,THO1,YER063W,YALI0_F08965g
503,RAP1,ALD5,YER073W,YALI0_C03025g
504,RAP1,PTC2,YER089C,YALI0_E14795g
505,RAP1,MET6,YER091C,YALI0_E12683g
