,gene_a,gene_b,score_a2b,score_b2a
51,YALI0_A01463g,YALI1_A01888g,996.0,996.0
52,YALI0_A01485g,YALI1_A01905g,753.0,753.0
53,YALI0_A01650g,YALI1_A02037g,734.0,734.0
54,YALI0_A01716g,YALI1_A02075g,1074.0,1074.0
55,YALI0_A01738g,YALI1_A02083g,249.0,249.0
56,YALI0_A01760g,YALI1_A02096g,877.0,877.0
57,YALI0_A01782g,YALI1_A02131g,784.0,784.0
58,YALI0_A01826g,YALI1_A02150g,1253.0,1253.0
59,YALI0_A01848g,YALI1_A02190g,679.0,679.0
60,YALI0_A01870g,YALI1_A02198g,657.0,657.0
61,YALI0_A01892g,YALI1_A02263g,1543.0,1543.0
62,YALI0_A01958g,YALI1_A02335g,1085.0,1085.0
63,YALI0_A01980g,YALI1_A02365g,1058.0,1058.0
64,YALI0_A02002g,YALI1_A02394g,852.0,852.0
65,YALI0_A02024g,YALI1_A02426g,1245.0,1245.0
66,YALI0_A02046g,YALI1_A02443g,671.0,671.0
67,YALI0_A02068g,YALI1_A02461g,737.0,737.0
68,YALI0_A02090g,YALI1_A02470g,1324.0,1324.0
69,YALI0_A02112g,YALI1_A02499g,254.0,254.0
70,YALI0_A02134g,YALI1_A02546g,2744.0,2744.0
71,YALI0_A02156g,YALI1_A02552g,266.0,266.0
72,YALI0_A02178g,YALI1_A02561g,296.0,296.0
73,YALI0_A02200g,YALI1_A02568g,1564.0,1564.0
74,YALI0_A02222g,YALI1_A02615g,1551.0,1551.0
75,YALI0_A02244g,YALI1_A02653g,1170.0,1170.0
76,YALI0_A02266g,YALI1_A02682g,1793.0,1793.0
77,YALI0_A02288g,YALI1_A02728g,1705.0,1705.0
78,YALI0_A02310g,YALI1_A02775g,1021.0,1021.0
79,YALI0_A02332g,YALI1_A02813g,1027.0,1027.0
80,YALI0_A02354g,YALI1_A02833g,1018.0,1018.0
81,YALI0_A02409g,YALI1_A02895g,656.0,656.0
82,YALI0_A02431g,YALI1_A02947g,713.0,713.0
83,YALI0_A02453g,YALI1_A02974g,1575.0,1575.0
84,YALI0_A02475g,YALI1_A02998g,377.0,377.0
85,YALI0_A02497g,YALI1_A03029g,114.0,114.0
86,YALI0_A02541g,YALI1_A03069g,1552.0,1552.0
87,YALI0_A02563g,YALI1_A03081g,390.0,390.0
88,YALI0_A02585g,YALI1_A03091g,689.0,689.0
89,YALI0_A02607g,YALI1_A03116g,892.0,892.0
90,YALI0_A02629g,YALI1_A03137g,233.0,233.0
91,YALI0_A02651g,YALI1_A03153g,371.0,371.0
92,YALI0_A02673g,YALI1_A03170g,538.0,538.0
93,YALI0_A02695g,YALI1_A03183g,697.0,697.0
94,YALI0_A02717g,YALI1_A03210g,664.0,664.0
95,YALI0_A02783g,YALI1_A03258g,370.0,370.0
96,YALI0_A02849g,YALI1_A03278g,246.0,246.0
97,YALI0_A02871g,YALI1_A03289g,145.0,145.0
98,YALI0_A02893g,YALI1_A03300g,1117.0,1117.0
99,YALI0_A02915g,YALI1_A03322g,469.0,469.0
100,YALI0_A02937g,YALI1_A03351g,403.0,403.0
101,YALI0_A02959g,YALI1_A03356g,1523.0,1523.0
102,YALI0_A02981g,YALI1_A03396g,674.0,674.0
103,YALI0_A03003g,YALI1_A03402g,280.0,280.0
104,YALI0_A03025g,YALI1_A03422g,667.0,667.0
105,YALI0_A03069g,YALI1_A03442g,369.0,369.0
106,YALI0_A03091g,YALI1_A03450g,1030.0,1030.0
107,YALI0_A03113g,YALI1_A03487g,239.0,239.0
108,YALI0_A03135g,YALI1_A03512g,1116.0,1116.0
109,YALI0_A03179g,YALI1_A03549g,457.0,457.0
110,YALI0_A03201g,YALI1_A03567g,790.0,790.0
111,YALI0_A03245g,YALI1_A03624g,1147.0,1147.0
112,YALI0_A03399g,YALI1_A03669g,1423.0,1423.0
113,YALI0_A03421g,YALI1_A03688g,352.0,352.0
114,YALI0_A03443g,YALI1_A03721g,1252.0,1252.0
115,YALI0_A03509g,YALI1_A03757g,1416.0,1416.0
116,YALI0_A03531g,YALI1_A03763g,874.0,874.0
117,YALI0_A03553g,YALI1_A03803g,1737.0,1737.0
118,YALI0_A03575g,YALI1_A03809g,216.0,216.0
119,YALI0_A03597g,YALI1_A03837g,1001.0,1001.0
120,YALI0_A03641g,YALI1_A03857g,707.0,707.0
121,YALI0_A03663g,YALI1_A03883g,710.0,710.0
122,YALI0_A03685g,YALI1_A03907g,385.0,385.0
123,YALI0_A03751g,YALI1_A03937g,1080.0,1080.0
124,YALI0_A03773g,YALI1_A03964g,663.0,663.0
125,YALI0_A03817g,YALI1_A04006g,422.0,422.0
126,YALI0_A03839g,YALI1_A04022g,1065.0,1065.0
127,YALI0_A03861g,YALI1_A04071g,1298.0,1298.0
128,YALI0_A03883g,YALI1_A04109g,2321.0,2321.0
129,YALI0_A03905g,YALI1_A04119g,655.0,655.0
130,YALI0_A03927g,YALI1_A04178g,1614.0,1614.0
131,YALI0_A03949g,YALI1_A04261g,1858.0,1858.0
132,YALI0_A03971g,YALI1_A04309g,1178.0,1178.0
133,YALI0_A03993g,YALI1_A04332g,383.0,383.0
134,YALI0_A04059g,YALI1_A04341g,1138.0,1138.0
135,YALI0_A04191g,YALI1_A04415g,814.0,814.0
136,YALI0_A04279g,YALI1_A04462g,661.0,661.0
137,YALI0_A04279g,YALI1_A04462g,661.0,449.0
138,YALI0_A04279g,YALI1_A04462g,449.0,661.0
139,YALI0_A04279g,YALI1_A04462g,449.0,449.0
140,YALI0_A04301g,YALI1_A04495g,582.0,582.0
141,YALI0_A04323g,YALI1_A04533g,565.0,565.0
142,YALI0_A04345g,YALI1_A04561g,738.0,738.0
143,YALI0_A04367g,YALI1_A04576g,434.0,434.0
144,YALI0_A04455g,YALI1_A04620g,417.0,417.0
145,YALI0_A04499g,YALI1_A04661g,205.0,205.0
146,YALI0_A04521g,YALI1_A04676g,509.0,509.0
147,YALI0_A04587g,YALI1_A04715g,312.0,312.0
148,YALI0_A04609g,YALI1_A04742g,2474.0,2474.0
149,YALI0_A04631g,YALI1_A04795g,605.0,605.0
150,YALI0_A04653g,YALI1_A04815g,1038.0,1038.0
151,YALI0_A04675g,YALI1_A04817g,364.0,364.0
152,YALI0_A04697g,YALI1_A04848g,1632.0,1632.0
153,YALI0_A04719g,YALI1_A04884g,174.0,174.0
154,YALI0_A04741g,YALI1_A04893g,1361.0,1361.0
155,YALI0_A04785g,YALI1_A04927g,649.0,649.0
156,YALI0_A04873g,YALI1_A04976g,938.0,938.0
157,YALI0_A04895g,YALI1_A05003g,385.0,385.0
158,YALI0_A04917g,YALI1_A05031g,834.0,834.0
159,YALI0_A04939g,YALI1_A05052g,2030.0,2030.0
160,YALI0_A04961g,YALI1_A05091g,225.0,225.0
161,YALI0_A04983g,YALI1_A05116g,672.0,672.0
162,YALI0_A05005g,YALI1_A05143g,702.0,702.0
163,YALI0_A05027g,YALI1_A05168g,530.0,530.0
164,YALI0_A05115g,YALI1_A05210g,606.0,606.0
165,YALI0_A05137g,YALI1_A05220g,218.0,218.0
166,YALI0_A05159g,YALI1_A05229g,576.0,576.0
167,YALI0_A05181g,YALI1_A05254g,941.0,941.0
168,YALI0_A05203g,YALI1_A05259g,1445.0,1445.0
169,YALI0_A05247g,YALI1_A05335g,2791.0,2791.0
170,YALI0_A05291g,YALI1_A05355g,520.0,520.0
171,YALI0_A05357g,YALI1_A05407g,667.0,667.0
172,YALI0_A05379g,YALI1_A05459g,1635.0,1635.0
173,YALI0_A05401g,YALI1_A05473g,333.0,333.0
174,YALI0_A05423g,YALI1_A05491g,212.0,212.0
175,YALI0_A05533g,YALI1_A05527g,2093.0,2093.0
176,YALI0_A05555g,YALI1_A05571g,739.0,739.0
177,YALI0_A05577g,YALI1_A05605g,2026.0,2026.0
178,YALI0_A05665g,YALI1_A05662g,1037.0,1037.0
179,YALI0_A05775g,YALI1_A05701g,243.0,243.0
180,YALI0_A05885g,YALI1_A05737g,800.0,800.0
181,YALI0_A05929g,YALI1_A05774g,1448.0,1448.0
182,YALI0_A05951g,YALI1_A05795g,918.0,918.0
183,YALI0_A05973g,YALI1_A05813g,191.0,191.0
184,YALI0_A05995g,YALI1_A05821g,579.0,579.0
185,YALI0_A06017g,YALI1_A05844g,197.0,197.0
186,YALI0_A06061g,YALI1_A05884g,897.0,897.0
187,YALI0_A06105g,YALI1_A05927g,481.0,481.0
188,YALI0_A06171g,YALI1_A05947g,806.0,806.0
189,YALI0_A06347g,YALI1_A06052g,650.0,650.0
190,YALI0_A06369g,YALI1_A06073g,687.0,687.0
191,YALI0_A06435g,YALI1_A06099g,968.0,968.0
192,YALI0_A06457g,YALI1_A06116g,322.0,322.0
193,YALI0_A06479g,YALI1_A06128g,1063.0,1063.0
194,YALI0_A06501g,YALI1_A06149g,388.0,388.0
195,YALI0_A06523g,YALI1_A06169g,769.0,769.0
196,YALI0_A06589g,YALI1_A06229g,946.0,946.0
197,YALI0_A06611g,YALI1_A06287g,1611.0,1611.0
198,YALI0_A06633g,YALI1_A06311g,308.0,308.0
199,YALI0_A06655g,YALI1_A06361g,1899.0,1899.0
200,YALI0_A06677g,YALI1_A06381g,743.0,743.0
201,YALI0_A06699g,YALI1_A06396g,227.0,227.0
202,YALI0_A06743g,YALI1_A06416g,466.0,466.0
203,YALI0_A06765g,YALI1_A06434g,533.0,533.0
204,YALI0_A06787g,YALI1_A06453g,792.0,792.0
205,YALI0_A06809g,YALI1_A06473g,265.0,265.0
206,YALI0_A06831g,YALI1_A06488g,577.0,577.0
207,YALI0_A06886g,YALI1_A06591g,788.0,788.0
208,YALI0_A06908g,YALI1_A06594g,356.0,356.0
209,YALI0_A06930g,YALI1_A06612g,626.0,626.0
210,YALI0_A06952g,YALI1_A06625g,200.0,200.0
211,YALI0_A06974g,YALI1_A06640g,776.0,776.0
212,YALI0_A06996g,YALI1_A06666g,741.0,741.0
213,YALI0_A07018g,YALI1_A06672g,2165.0,2165.0
214,YALI0_A07062g,YALI1_A06721g,669.0,669.0
215,YALI0_A07084g,YALI1_A06743g,331.0,331.0
216,YALI0_A07106g,YALI1_A06778g,1807.0,1807.0
217,YALI0_A07128g,YALI1_A06823g,1155.0,1155.0
218,YALI0_A07142g,YALI1_A06873g,1538.0,1538.0
219,YALI0_A07403g,YALI1_A06958g,416.0,416.0
220,YALI0_A07425g,YALI1_A06989g,1281.0,1281.0
221,YALI0_A07447g,YALI1_A07014g,1226.0,1226.0
222,YALI0_A07557g,YALI1_A07051g,1348.0,1348.0
223,YALI0_A07579g,YALI1_A07103g,1074.0,1074.0
224,YALI0_A07601g,YALI1_A07137g,1447.0,1447.0
225,YALI0_A07623g,YALI1_A07201g,969.0,969.0
226,YALI0_A07667g,YALI1_A07241g,717.0,717.0
227,YALI0_A07689g,YALI1_A07267g,1568.0,1568.0
228,YALI0_A07711g,YALI1_A07277g,141.0,141.0
229,YALI0_A07733g,YALI1_A07290g,574.0,574.0
230,YALI0_A07755g,YALI1_A07309g,525.0,525.0
231,YALI0_A07777g,YALI1_A07318g,275.0,275.0
232,YALI0_A07799g,YALI1_A07326g,246.0,246.0
233,YALI0_A07821g,YALI1_A07349g,1003.0,1003.0
234,YALI0_A07843g,YALI1_A07381g,1422.0,1422.0
235,YALI0_A07865g,YALI1_A07405g,309.0,309.0
236,YALI0_A07887g,YALI1_A07418g,560.0,560.0
237,YALI0_A07997g,YALI1_A07472g,2875.0,2875.0
238,YALI0_A08019g,YALI1_A07538g,955.0,955.0
239,YALI0_A08041g,YALI1_A07575g,1303.0,1303.0
240,YALI0_A08063g,YALI1_A07624g,895.0,895.0
241,YALI0_A08077g,YALI1_A07649g,679.0,679.0
242,YALI0_A08107g,YALI1_A07668g,816.0,816.0
243,YALI0_A08129g,YALI1_A07712g,629.0,629.0
244,YALI0_A08151g,YALI1_A07730g,259.0,259.0
245,YALI0_A08165g,YALI1_A07768g,2932.0,2932.0
246,YALI0_A08195g,YALI1_A07829g,329.0,329.0
247,YALI0_A08217g,YALI1_A07887g,717.0,717.0
248,YALI0_A08239g,YALI1_A07937g,977.0,977.0
249,YALI0_A08261g,YALI1_A07977g,2722.0,2722.0
250,YALI0_A08327g,YALI1_A08047g,244.0,244.0
251,YALI0_A08338g,YALI1_A08049g,143.0,143.0
252,YALI0_A08360g,YALI1_A08073g,1095.0,1095.0
253,YALI0_A08404g,YALI1_A08126g,1153.0,1153.0
254,YALI0_A08426g,YALI1_A08175g,2238.0,2238.0
255,YALI0_A08448g,YALI1_A08206g,689.0,689.0
256,YALI0_A08536g,YALI1_A08436g,1209.0,1209.0
257,YALI0_A08558g,YALI1_A08467g,625.0,625.0
258,YALI0_A08580g,YALI1_A08468g,717.0,717.0
259,YALI0_A08624g,YALI1_A08486g,273.0,273.0
260,YALI0_A08646g,YALI1_A08502g,733.0,733.0
261,YALI0_A08668g,YALI1_A08512g,636.0,636.0
262,YALI0_A08734g,YALI1_A08546g,922.0,922.0
263,YALI0_A08800g,YALI1_A08614g,751.0,751.0
264,YALI0_A08866g,YALI1_A08623g,165.0,165.0
265,YALI0_A08888g,YALI1_A08653g,44.7,44.7
266,YALI0_A08998g,YALI1_A08672g,1177.0,1177.0
267,YALI0_A09020g,YALI1_A08729g,2687.0,2687.0
268,YALI0_A09042g,YALI1_A08781g,963.0,963.0
269,YALI0_A09064g,YALI1_A08787g,952.0,952.0
270,YALI0_A09086g,YALI1_A08828g,296.0,296.0
271,YALI0_A09108g,YALI1_A08856g,660.0,660.0
272,YALI0_A09196g,YALI1_A08901g,115.0,115.0
273,YALI0_A09262g,YALI1_A08981g,1109.0,1109.0
274,YALI0_A09284g,YALI1_A09010g,602.0,602.0
275,YALI0_A09383g,YALI1_A09064g,1072.0,1072.0
276,YALI0_A09405g,YALI1_A09100g,868.0,868.0
277,YALI0_A09427g,YALI1_A09121g,961.0,961.0
278,YALI0_A09438g,YALI1_A09139g,200.0,200.0
279,YALI0_A09449g,YALI1_A09166g,489.0,489.0
280,YALI0_A09471g,YALI1_A09190g,172.0,172.0
281,YALI0_A09537g,YALI1_A09218g,3016.0,3016.0
282,YALI0_A09559g,YALI1_A09325g,815.0,815.0
283,YALI0_A09592g,YALI1_A09372g,919.0,919.0
284,YALI0_A09614g,YALI1_A09397g,617.0,617.0
285,YALI0_A09636g,YALI1_A09408g,559.0,559.0
286,YALI0_A09658g,YALI1_A09422g,1193.0,1193.0
287,YALI0_A09680g,YALI1_A09444g,828.0,828.0
288,YALI0_A09702g,YALI1_A09467g,1402.0,1402.0
289,YALI0_A09724g,YALI1_A09522g,2056.0,2056.0
290,YALI0_A09746g,YALI1_A09524g,385.0,385.0
291,YALI0_A09768g,YALI1_A09553g,654.0,654.0
292,YALI0_A09790g,YALI1_A09576g,773.0,773.0
293,YALI0_A09812g,YALI1_A09593g,935.0,935.0
294,YALI0_A09834g,YALI1_A09626g,982.0,982.0
295,YALI0_A09845g,YALI1_A09638g,348.0,348.0
296,YALI0_A09856g,YALI1_A09694g,2063.0,2063.0
297,YALI0_A09878g,YALI1_A09741g,570.0,570.0
298,YALI0_A09900g,YALI1_A09766g,1192.0,1192.0
299,YALI0_A09922g,YALI1_A09798g,242.0,242.0
300,YALI0_A09988g,YALI1_A09856g,1622.0,1622.0
301,YALI0_A10010g,YALI1_A09893g,726.0,726.0
302,YALI0_A10032g,YALI1_A09911g,833.0,833.0
303,YALI0_A10076g,YALI1_A09939g,926.0,926.0
304,YALI0_A10098g,YALI1_A09949g,663.0,663.0
305,YALI0_A10120g,YALI1_A09996g,1279.0,1279.0
306,YALI0_A10142g,YALI1_A10015g,656.0,656.0
307,YALI0_A10164g,YALI1_A10022g,944.0,944.0
308,YALI0_A10186g,YALI1_A10039g,1432.0,1432.0
309,YALI0_A10208g,YALI1_A10072g,808.0,808.0
310,YALI0_A10230g,YALI1_A10105g,1351.0,1351.0
311,YALI0_A10252g,YALI1_A10143g,838.0,838.0
312,YALI0_A10274g,YALI1_A10146g,316.0,316.0
313,YALI0_A10296g,YALI1_A10199g,2757.0,2757.0
314,YALI0_A10310g,YALI1_A10254g,625.0,625.0
315,YALI0_A10318g,YALI1_A10267g,2001.0,2001.0
316,YALI0_A10362g,YALI1_A10318g,1743.0,1743.0
317,YALI0_A10439g,YALI1_A10365g,806.0,806.0
318,YALI0_A10483g,YALI1_A10468g,1068.0,1068.0
319,YALI0_A10549g,YALI1_A10510g,723.0,723.0
320,YALI0_A10571g,YALI1_A10529g,329.0,329.0
321,YALI0_A10593g,YALI1_A10565g,1313.0,1313.0
322,YALI0_A10615g,YALI1_A10619g,1642.0,1642.0
323,YALI0_A10637g,YALI1_A10672g,1761.0,1761.0
324,YALI0_A10659g,YALI1_A10708g,611.0,611.0
325,YALI0_A10681g,YALI1_A10784g,776.0,776.0
326,YALI0_A10703g,YALI1_A10798g,731.0,731.0
327,YALI0_A10725g,YALI1_A10827g,385.0,385.0
328,YALI0_A10747g,YALI1_A10857g,246.0,246.0
329,YALI0_A10769g,YALI1_A10883g,2217.0,2217.0
330,YALI0_A10813g,YALI1_A10907g,533.0,533.0
331,YALI0_A10879g,YALI1_A10934g,335.0,335.0
332,YALI0_A10901g,YALI1_A10966g,105.0,105.0
333,YALI0_A10945g,YALI1_A11043g,916.0,916.0
334,YALI0_A10967g,YALI1_A11079g,318.0,318.0
335,YALI0_A10989g,YALI1_A11114g,1263.0,1263.0
336,YALI0_A11011g,YALI1_A11141g,360.0,360.0
337,YALI0_A11077g,YALI1_A11182g,614.0,614.0
338,YALI0_A11099g,YALI1_A11218g,1616.0,1616.0
339,YALI0_A11121g,YALI1_A11231g,359.0,359.0
340,YALI0_A11143g,YALI1_A11258g,784.0,784.0
341,YALI0_A11157g,YALI1_A11270g,905.0,905.0
342,YALI0_A11220g,YALI1_A11355g,534.0,534.0
343,YALI0_A11407g,YALI1_A11415g,1285.0,1285.0
344,YALI0_A11473g,YALI1_A11439g,2577.0,2577.0
345,YALI0_A11517g,YALI1_A11500g,686.0,686.0
346,YALI0_A11539g,YALI1_A11506g,2019.0,2019.0
347,YALI0_A11561g,YALI1_A11612g,1075.0,1075.0
348,YALI0_A11605g,YALI1_A11654g,1087.0,1087.0
349,YALI0_A11627g,YALI1_A11676g,351.0,351.0
350,YALI0_A11649g,YALI1_A11797g,1444.0,1444.0
351,YALI0_A11671g,YALI1_A11854g,1251.0,1251.0
352,YALI0_A11737g,YALI1_A11905g,334.0,334.0
353,YALI0_A11759g,YALI1_A11954g,1296.0,1296.0
354,YALI0_A11781g,YALI1_A12037g,1344.0,1344.0
355,YALI0_A11803g,YALI1_A12067g,662.0,662.0
356,YALI0_A11847g,YALI1_A12085g,482.0,482.0
357,YALI0_A11869g,YALI1_A12099g,2597.0,2597.0
358,YALI0_A11891g,YALI1_A12152g,174.0,174.0
359,YALI0_A11935g,YALI1_A12167g,434.0,434.0
360,YALI0_A12001g,YALI1_A12225g,2803.0,2803.0
361,YALI0_A12023g,YALI1_A12245g,602.0,602.0
362,YALI0_A12045g,YALI1_A12284g,343.0,343.0
363,YALI0_A12067g,YALI1_A12302g,419.0,419.0
364,YALI0_A12111g,YALI1_A12356g,1152.0,1152.0
365,YALI0_A12133g,YALI1_A12403g,985.0,985.0
366,YALI0_A12155g,YALI1_A12411g,827.0,827.0
367,YALI0_A12177g,YALI1_A12437g,792.0,792.0
368,YALI0_A12199g,YALI1_A12445g,389.0,389.0
369,YALI0_A12221g,YALI1_A12465g,545.0,545.0
370,YALI0_A12243g,YALI1_A12475g,642.0,642.0
371,YALI0_A12265g,YALI1_A12492g,285.0,285.0
372,YALI0_A12287g,YALI1_A12502g,1675.0,1675.0
373,YALI0_A12353g,YALI1_A12540g,759.0,759.0
374,YALI0_A12419g,YALI1_A12601g,317.0,317.0
375,YALI0_A12441g,YALI1_A12617g,714.0,714.0
376,YALI0_A12507g,YALI1_A12638g,503.0,503.0
377,YALI0_A12573g,YALI1_A12688g,1243.0,1243.0
378,YALI0_A12617g,YALI1_A12729g,489.0,489.0
379,YALI0_A12683g,YALI1_A12756g,576.0,576.0
380,YALI0_A12705g,YALI1_A12772g,333.0,333.0
381,YALI0_A12815g,YALI1_A12852g,535.0,535.0
382,YALI0_A12837g,YALI1_A12868g,172.0,172.0
383,YALI0_A12925g,YALI1_A12929g,734.0,734.0
384,YALI0_A12969g,YALI1_A12989g,653.0,653.0
385,YALI0_A13013g,YALI1_A13019g,719.0,719.0
386,YALI0_A13035g,YALI1_A13041g,327.0,327.0
387,YALI0_A13057g,YALI1_A13046g,1712.0,1712.0
388,YALI0_A13079g,YALI1_A13095g,1166.0,1166.0
389,YALI0_A13101g,YALI1_A13100g,1734.0,1736.0
390,YALI0_A13233g,YALI1_A13200g,966.0,966.0
391,YALI0_A13233g,YALI1_A13200g,966.0,103.0
392,YALI0_A13233g,YALI1_A13200g,966.0,102.0
393,YALI0_A13233g,YALI1_A13200g,966.0,87.4
394,YALI0_A13233g,YALI1_A13200g,966.0,62.0
395,YALI0_A13233g,YALI1_A13200g,966.0,53.1
396,YALI0_A13233g,YALI1_A13200g,104.0,966.0
397,YALI0_A13233g,YALI1_A13200g,104.0,103.0
398,YALI0_A13233g,YALI1_A13200g,104.0,102.0
399,YALI0_A13233g,YALI1_A13200g,104.0,87.4
400,YALI0_A13233g,YALI1_A13200g,104.0,62.0
401,YALI0_A13233g,YALI1_A13200g,104.0,53.1
402,YALI0_A13233g,YALI1_A13200g,96.3,966.0
403,YALI0_A13233g,YALI1_A13200g,96.3,103.0
404,YALI0_A13233g,YALI1_A13200g,96.3,102.0
405,YALI0_A13233g,YALI1_A13200g,96.3,87.4
406,YALI0_A13233g,YALI1_A13200g,96.3,62.0
407,YALI0_A13233g,YALI1_A13200g,96.3,53.1
408,YALI0_A13233g,YALI1_A13200g,90.5,966.0
409,YALI0_A13233g,YALI1_A13200g,90.5,103.0
410,YALI0_A13233g,YALI1_A13200g,90.5,102.0
411,YALI0_A13233g,YALI1_A13200g,90.5,87.4
412,YALI0_A13233g,YALI1_A13200g,90.5,62.0
413,YALI0_A13233g,YALI1_A13200g,90.5,53.1
414,YALI0_A13233g,YALI1_A13200g,88.6,966.0
415,YALI0_A13233g,YALI1_A13200g,88.6,103.0
416,YALI0_A13233g,YALI1_A13200g,88.6,102.0
417,YALI0_A13233g,YALI1_A13200g,88.6,87.4
418,YALI0_A13233g,YALI1_A13200g,88.6,62.0
419,YALI0_A13233g,YALI1_A13200g,88.6,53.1
420,YALI0_A13233g,YALI1_A13200g,63.5,966.0
421,YALI0_A13233g,YALI1_A13200g,63.5,103.0
422,YALI0_A13233g,YALI1_A13200g,63.5,102.0
423,YALI0_A13233g,YALI1_A13200g,63.5,87.4
424,YALI0_A13233g,YALI1_A13200g,63.5,62.0
425,YALI0_A13233g,YALI1_A13200g,63.5,53.1
426,YALI0_A13255g,YALI1_A13287g,167.0,167.0
427,YALI0_A13277g,YALI1_A13349g,972.0,972.0
428,YALI0_A13299g,YALI1_A13383g,1019.0,1019.0
429,YALI0_A13321g,YALI1_A13412g,1023.0,1023.0
430,YALI0_A13387g,YALI1_A13454g,1176.0,1176.0
431,YALI0_A13497g,YALI1_A13508g,349.0,349.0
432,YALI0_A13519g,YALI1_A13555g,2579.0,2579.0
433,YALI0_A13541g,YALI1_A13566g,699.0,699.0
434,YALI0_A13563g,YALI1_A13596g,1336.0,1336.0
435,YALI0_A13585g,YALI1_A13649g,1195.0,1195.0
436,YALI0_A13607g,YALI1_A13682g,176.0,176.0
437,YALI0_A13673g,YALI1_A13713g,1019.0,1019.0
438,YALI0_A13695g,YALI1_A13737g,1440.0,1440.0
439,YALI0_A13849g,YALI1_A13845g,145.0,145.0
440,YALI0_A13937g,YALI1_A13877g,392.0,392.0
441,YALI0_A14069g,YALI1_A13962g,529.0,529.0
442,YALI0_A14157g,YALI1_A13994g,398.0,398.0
443,YALI0_A14212g,YALI1_A14024g,1018.0,1018.0
444,YALI0_A14234g,YALI1_A14079g,1122.0,1122.0
445,YALI0_A14256g,YALI1_A14099g,648.0,648.0
446,YALI0_A14322g,YALI1_A14162g,720.0,720.0
447,YALI0_A14366g,YALI1_A14189g,396.0,396.0
448,YALI0_A14388g,YALI1_A14199g,707.0,707.0
449,YALI0_A14454g,YALI1_A14228g,580.0,580.0
450,YALI0_A14476g,YALI1_A14259g,717.0,717.0
451,YALI0_A14498g,YALI1_A14287g,362.0,362.0
452,YALI0_A14520g,YALI1_A14305g,906.0,906.0
453,YALI0_A14542g,YALI1_A14345g,1318.0,1318.0
454,YALI0_A14564g,YALI1_A14368g,462.0,462.0
